attribute_key,label,label_zh,theme,attribute_group,definition,source_type,mention_count,salience_column,quality_column,example_review_id,example_quote,theory_families,theory_subtheories,applicable_products
blade_material_japanese_steel,Japanese High-Carbon Steel Blade,日本高碳鋼刀片,Motor & Blade,attribute_function,"Whether blades are made from Japanese high-carbon steel (sharper, more durable). High=Japanese steel confirmed; Low=unspecified steel.",both,20,blade_material_japanese_steel_salience,blade_material_japanese_steel_quality,B0842PLHY1,high-carbon steel blade from Japan ensuring safety without risk of scratching or hurting skin,"product_positioning,maslow,purchase_motivation","attributes,safety,security","B0842PLHY1,B0BRVTRPXM,B091C37P34,B0BVVKKXFZ,B0GL2DKVQH,B0GL2GP74J"
blade_sharpness,Blade Sharpness,刀片鋒利度,Motor & Blade,attribute_function,"Perceived cutting sharpness from reviews. High=reviewers praise clean cuts; Low=dull, hair-snagging complaints.",review,42,blade_sharpness_salience,blade_sharpness_quality,B0GL2DKVQH,"Cheap, Cheerful, and Surprisingly Sharp – I've used this URBANER Precision Mustache Trimmer a handful of times now","product_positioning,purchase_motivation,wom_motivation","functions,functional,altruistic","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
blade_hair_pulling,Blade Hair Pulling / Snagging,刀片拉毛問題,Motor & Blade,attribute_function,"Whether blade snags or pulls hair during use. High=smooth, no pulling; Low=frequent pulling complaints.",review,25,blade_hair_pulling_salience,blade_hair_pulling_quality,B0BVVKKXFZ,"Dull razor – The blade for this trimmer is not very sharp. Instead of gliding smooth, it tends to snag the hair.","product_positioning,maslow,purchase_motivation,wom_motivation","functions,physiological,functional,altruistic","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
motor_power_rpm,Motor Power / Speed,馬達功率轉速,Motor & Blade,attribute_function,"Perceived motor power and RPM. High=strong, powerful motor; Low=weak, slow motor.",review,30,motor_power_rpm_salience,motor_power_rpm_quality,B0823PD6XD,Does not trim well at all. Motor speed is slow. No adjustable speeds.,"product_positioning,purchase_motivation","functions,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
blade_width,Blade Width,刀片寬度,Motor & Blade,attribute_function,Physical width of the cutting blade. High=wider blade (faster coverage); Low=narrower blade (more precision).,both,12,blade_width_salience,blade_width_quality,B0GL2GP74J,The 0.8-inch blade on this URBANER Mustache Trimmer is exactly what I needed for precision work,"product_positioning,purchase_motivation","attributes,functional","B0842PLHY1,B0GL2GP74J,B0GL2DKVQH"
blade_replaceable,Replaceable Blade,可替換刀片,Motor & Blade,attribute_function,Whether the trimmer blade can be replaced when worn. High=replaceable blade; Low=non-replaceable.,both,8,blade_replaceable_salience,blade_replaceable_quality,B0BRVTRPXM,2 blades included in package,"product_positioning,purchase_motivation","attributes,functional,security","B0BRVTRPXM,B06Y65N73X"
ceramic_blade,Ceramic Blade (Heat Reduction),陶瓷刀片（低熱）,Motor & Blade,attribute_function,Whether a ceramic blade is used to reduce heat by up to 70% (relevant for pet/sensitive skin use). High=ceramic blade; Low=standard metal blade.,both,4,ceramic_blade_salience,ceramic_blade_quality,B09138YH5R,The ceramic blade can effectively reduce heat by up to 70%,"product_positioning,maslow","attributes,safety",B09138YH5R
cutting_precision,Cutting Precision,裁剪精確度,Motor & Blade,attribute_function,"Precision of the cut for detail work (mustache edges, eyebrow lines). High=highly precise; Low=imprecise, can't hold lines.",review,35,cutting_precision_salience,cutting_precision_quality,B0GL2DKVQH,"If you're looking for a dedicated mustache trimmer, this is fantastic! The adjustable blade delivers incredibly precise cuts","product_positioning,purchase_motivation,wom_motivation","functions,functional,altruistic","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
foil_shaver_head,Foil Shaver Head Included,附網狀刮鬍刀頭,Motor & Blade,attribute_function,Whether a foil shaver attachment is included in the kit. High=foil shaver head included; Low=not included.,both,8,foil_shaver_head_salience,foil_shaver_head_quality,B0BVVKKXFZ,"The foil shaver works fine, but it's not a replacement for a dedicated foil shaver","product_positioning,purchase_motivation","attributes,functional","B0BVVKKXFZ,B0D5B8ZT1K"
waterproof_rating_ipx8,IPX8 Waterproof Rating,IPX8防水等級,Waterproof,attribute_function,Whether the product carries the IPX8 waterproof certification (submersible). High=IPX8 certified; Low=water resistant or not rated.,both,22,waterproof_rating_ipx8_salience,waterproof_rating_ipx8_quality,B0GL2DKVQH,Capable Travel Trimmer – IPX8 Rating Shines,"product_positioning,maslow,purchase_motivation","attributes,safety,security","B0842PLHY1,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
shower_use_safe,Shower-Safe Use,可淋浴使用,Waterproof,benefit_use,Whether the product can be used safely during a shower. High=shower-safe confirmed; Low=only splash resistant.,both,18,shower_use_safe_salience,shower_use_safe_quality,B0BRVTRPXM,"totally waterproof, meaning you can trim up in the shower if that's your style","product_positioning,maslow,purchase_motivation","functions,physiological,functional","B06Y65N73X,B0823PD6XD,B0842PLHY1,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
rinse_under_tap,Rinse-Under-Tap Cleaning,水龍頭沖洗清潔,Waterproof,benefit_use,Whether the head/body can be rinsed under running water for cleaning. High=fully rinsable; Low=only brush cleaning.,both,26,rinse_under_tap_salience,rinse_under_tap_quality,B06Y65N73X,You can simply rinse it clean when you've finished,"product_positioning,purchase_motivation","functions,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
wet_dry_dual_use,Wet & Dry Dual Use,乾濕兩用,Waterproof,benefit_use,Whether the product can be used both wet (shower/cream) and dry. High=full wet+dry capability; Low=dry use only.,both,15,wet_dry_dual_use_salience,wet_dry_dual_use_quality,B0823PD6XD,"Works Wet/Dry, AA Battery Operated","product_positioning,purchase_motivation","functions,functional","B0823PD6XD,B0842PLHY1,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K"
num_grooming_functions,Number of Grooming Functions,修容功能數量,Functions,attribute_function,"Total count of distinct grooming functions (beard, nose, ear, eyebrow, etc.). High=4+ functions; Low=single function.",both,40,num_grooming_functions_salience,num_grooming_functions_quality,B0BVVKKXFZ,"4-in-1 Grooming Set – Ear and Nose Hair Trimmer, Eyebrows Trimmer, Portable Electric Shaver","product_positioning,maslow,purchase_motivation","functions,self_actualization,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
beard_trimming_function,Beard Trimming Function,鬍鬚修剪功能,Functions,attribute_function,Effectiveness at trimming beard hair. High=good beard coverage and cut; Low=poor beard performance.,review,40,beard_trimming_function_salience,beard_trimming_function_quality,B0823PD6XD,Great beard trimmer – The small lightweight unit that works great. I even use it to trim my hair.,"product_positioning,purchase_motivation,wom_motivation","functions,functional,altruistic","B0823PD6XD,B0842PLHY1,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
nose_hair_trimming_function,Nose Hair Trimming Function,鼻毛修剪功能,Functions,attribute_function,Effectiveness at trimming nose hair including how well the head fits the nostril. High=powerful and fits well; Low=too large or weak.,review,38,nose_hair_trimming_function_salience,nose_hair_trimming_function_quality,B0BVVKKXFZ,Bad size nose trimmer – The nose trimmer is useless as it is too large for the nose hair.,"product_positioning,purchase_motivation,wom_motivation","functions,functional,altruistic","B06Y65N73X,B0823PD6XD,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2GP74J"
ear_hair_trimming_function,Ear Hair Trimming Function,耳毛修剪功能,Functions,attribute_function,Effectiveness at trimming ear hair. High=works well in ears; Low=not effective or hard to use in ears.,review,24,ear_hair_trimming_function_salience,ear_hair_trimming_function_quality,B0823PD6XD,"Works well, even against aggressive ear hair – Turning 50 was rough. My hair just gave up.","product_positioning,purchase_motivation","functions,functional","B06Y65N73X,B0823PD6XD,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2GP74J"
eyebrow_trimming_function,Eyebrow Trimming Function,眉毛修剪功能,Functions,attribute_function,Effectiveness at shaping eyebrows. High=precise and painless; Low=imprecise or uncomfortable.,both,20,eyebrow_trimming_function_salience,eyebrow_trimming_function_quality,B0823PD6XD,Eyebrow trimmer works well. I already had a nose hair trimmer by this brand which works really well.,"product_positioning,purchase_motivation","functions,functional","B083NFMGZH,B0823PD6XD,B091C37P34,B0BVVKKXFZ,B0D5B8ZT1K"
mustache_trimming_function,Mustache Trimming Function,鬍子修剪功能,Functions,attribute_function,"Effectiveness and precision for mustache trimming specifically. High=clean edges, good detail; Low=imprecise.",review,32,mustache_trimming_function_salience,mustache_trimming_function_quality,B0GL2DKVQH,"Nice Dedicated Mustache Trimmer – I'm a mustache guy, so having a dedicated tool just for mustache work makes a big difference.","product_positioning,purchase_motivation,wom_motivation","functions,functional,self_enhancement","B0842PLHY1,B0GL2DKVQH,B0GL2GP74J,B0823PD6XD,B0BVVKKXFZ"
sideburn_trimming_function,Sideburn Trimming Function,鬢角修剪功能,Functions,attribute_function,Effectiveness at styling and trimming sideburns. High=good line and precision; Low=not suitable.,both,10,sideburn_trimming_function_salience,sideburn_trimming_function_quality,B0BRVTRPXM,"Grooming zones include beard, sideburns, and mustache","product_positioning,purchase_motivation","functions,functional","B0BRVTRPXM,B0842PLHY1,B0GL2DKVQH"
chest_body_hair_function,Chest / Body Hair Trimming,胸毛/體毛修剪,Functions,attribute_function,Whether the product can handle chest or body hair. High=explicitly designed for body hair; Low=face-only.,both,8,chest_body_hair_function_salience,chest_body_hair_function_quality,B0BRVTRPXM,"Waterproof Chest Razors for Men, Safe Blade","product_positioning,purchase_motivation","functions,functional","B0BRVTRPXM,B0BVVKKXFZ"
peach_fuzz_removal,Peach Fuzz / Fine Hair Removal,汗毛去除,Functions,attribute_function,Ability to remove fine facial hair (peach fuzz) especially for women. High=gentle and effective; Low=misses fine hairs.,both,12,peach_fuzz_removal_salience,peach_fuzz_removal_quality,B091C37P34,Painless for Face Chin Upper-Lip Neck Peach-Fuzz,"product_positioning,purchase_motivation","functions,functional","B091C37P34,B083NFMGZH"
pet_grooming_function,Pet Grooming Function,寵物修毛功能,Functions,attribute_function,Whether the product is designed for grooming pets (cats/dogs). High=purpose-built for pets; Low=human use only.,both,5,pet_grooming_function_salience,pet_grooming_function_quality,B09138YH5R,"Cordless Small Pet Hair Grooming Trimmer, Low Noise for Trimming Cats and Dogs Hair Around Paws, Eyes, Ears","product_positioning,maslow,purchase_motivation","functions,safety,functional",B09138YH5R
haircutting_head_function,Head / Scalp Hair Trimming,剪頭髮功能,Functions,attribute_function,Whether the product can trim scalp/head hair. High=usable for head hair trimming; Low=face/body only.,review,6,haircutting_head_function_salience,haircutting_head_function_quality,B0823PD6XD,The small lightweight unit that works great. I even use it to trim my hair.,"product_positioning,purchase_motivation","functions,functional","B0823PD6XD,B0BRVTRPXM"
adjustable_comb_settings,Adjustable Comb Length Settings,可調式導梳長度設定,Adjustability,attribute_function,Number and range of adjustable length settings via comb. High=many settings with fine increments; Low=fixed or few settings.,both,30,adjustable_comb_settings_salience,adjustable_comb_settings_quality,B0BVVKKXFZ,Decent Assortment of Attachments – adjustable (5 level) beard trimming attachment,"product_positioning,purchase_motivation","attributes,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
min_cut_length_mm,Minimum Cut Length (mm),最短裁剪長度(mm),Adjustability,attribute_function,Shortest hair length the trimmer can achieve. High=very short (under 1mm); Low=longer minimum (3mm+).,both,14,min_cut_length_mm_salience,min_cut_length_mm_quality,B0GL2DKVQH,adjustable blade (0.5mm to 14mm) delivers incredibly precise cuts,"product_positioning,purchase_motivation","attributes,functional","B0842PLHY1,B0GL2DKVQH,B0GL2GP74J,B0823PD6XD,B0BRVTRPXM"
max_cut_length_mm,Maximum Cut Length (mm),最長裁剪長度(mm),Adjustability,attribute_function,Longest hair length achievable with included combs. High=wide range (14mm+); Low=short max range.,both,10,max_cut_length_mm_salience,max_cut_length_mm_quality,B0BRVTRPXM,3/4/5/6mm combs included,"product_positioning,purchase_motivation","attributes,functional","B0842PLHY1,B0GL2DKVQH,B0BRVTRPXM,B0823PD6XD"
guide_comb_variety,Number of Guide Combs Included,導梳種類數,Adjustability,attribute_function,Number of different guide comb attachments included. High=many combs; Low=single or no comb.,both,16,guide_comb_variety_salience,guide_comb_variety_quality,B0BRVTRPXM,3/4/5/6mm combs – 4 guide combs included,"product_positioning,purchase_motivation","attributes,functional","B0BRVTRPXM,B0842PLHY1,B0GL2DKVQH,B0823PD6XD"
stepless_adjustment,Stepless / Continuous Length Adjustment,無段式調整,Adjustability,attribute_function,Whether length adjustment is continuous (stepless) or in fixed steps. High=stepless dial; Low=fixed step positions only.,both,8,stepless_adjustment_salience,stepless_adjustment_quality,B0GL2DKVQH,adjustable range 0.5mm to 14mm – continuous precision dial,"product_positioning,purchase_motivation","attributes,functional","B0GL2DKVQH,B0842PLHY1"
speed_settings,Speed Settings,速度段數,Adjustability,attribute_function,Number of speed modes available. High=2+ speeds; Low=single speed only.,both,8,speed_settings_salience,speed_settings_quality,B09138YH5R,There are 2 speed switches to choose from: High and Low speed,"product_positioning,purchase_motivation","attributes,functional","B09138YH5R,B0823PD6XD"
pen_shaped_design,Pen-Shaped Design,筆型設計,Design,attribute_function,Whether the product has a slim pen-like form factor for precision handling. High=pen-shaped; Low=standard handle shape.,both,14,pen_shaped_design_salience,pen_shaped_design_quality,B091C37P34,Small Battery Powered Pen-Shaped Facial Hair Remover,"product_positioning,maslow","attributes,esteem","B091C37P34,B083NFMGZH,B06Y65N73X"
product_weight_g,Product Weight (grams),產品重量(g),Design,attribute_function,Weight of the device. High=heavier (stable); Low=very light (travel-friendly). Measured in grams.,both,16,product_weight_g_salience,product_weight_g_quality,B091C37P34,13.5 grams (excluding battery) – extremely lightweight pen trimmer,"product_positioning,purchase_motivation","attributes,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
grip_ergonomics,Grip Ergonomics,握持人體工學,Design,benefit_use,Comfort and control during hand-held use. High=comfortable non-slip grip; Low=slippery or awkward.,review,20,grip_ergonomics_salience,grip_ergonomics_quality,B0GL2DKVQH,grip is good and the attack angle allows accurate detailing,"product_positioning,maslow,purchase_motivation","functions,physiological,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
handle_slipperiness,Handle Slipperiness,握柄滑手問題,Design,attribute_function,Whether the handle is slippery during wet or dry use. High=non-slip confirmed; Low=slippery complaints.,review,10,handle_slipperiness_salience,handle_slipperiness_quality,B0823PD6XD,Teensy Blades & Slippery Trimmer Body – complaint about the trimmer body,"product_positioning,maslow","attributes,physiological","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
compact_size,Compact Size,緊湊尺寸,Design,benefit_use,How small/compact the device is overall. High=very compact and pocket-sized; Low=bulkier full-size trimmer.,review,38,compact_size_salience,compact_size_quality,B0823PD6XD,"Small, compact, easy to use and gets the job done!","product_positioning,maslow,purchase_motivation","benefits,physiological,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
color_style_aesthetics,Color / Style Aesthetics,外觀配色設計,Design,brand_image,Aesthetic appeal of the product color scheme and overall appearance. High=stylish and attractive; Low=plain or dated.,review,12,color_style_aesthetics_salience,color_style_aesthetics_quality,B0BVVKKXFZ,"The trimmer looks chic and has a good weight to it. It is simple, yet comfortable to use.","product_positioning,maslow","benefits,esteem","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
protective_cap_cover,Protective Cap / Cover for Blade Head,刀頭保護蓋,Design,attribute_function,Whether a protective cap or cover is included to protect the blade when not in use. High=cap included; Low=no cap.,both,12,protective_cap_cover_salience,protective_cap_cover_quality,B0823PD6XD,"Works as expected – it also has a cover, which makes it easy for traveling","product_positioning,purchase_motivation","attributes,functional","B06Y65N73X,B0823PD6XD,B0842PLHY1,B0BRVTRPXM,B091C37P34,B083NFMGZH"
dust_proof_cover,Dust-Proof Head Cover,防塵保護蓋,Design,attribute_function,Whether the trimmer head has a dust-proof design to protect blades during storage. High=dust-proof cover; Low=no protection.,both,6,dust_proof_cover_salience,dust_proof_cover_quality,B0D5B8ZT1K,user-friendly handy body design with a dust-proof cover to protect the trimmer head,product_positioning,attributes,B0D5B8ZT1K
blade_head_storage_base,Blade Head Storage Base,刀頭收納底座,Design,attribute_function,Whether a base or organizer is included specifically for storing multiple blade heads. High=included; Low=no dedicated storage.,both,6,blade_head_storage_base_salience,blade_head_storage_base_quality,B0D5B8ZT1K,a base for organizing blade heads when not in use,"product_positioning,purchase_motivation","attributes,functional","B0D5B8ZT1K,B0BVVKKXFZ"
travel_suitability,Travel Suitability,旅行攜帶適用性,Portability,benefit_use,"Overall suitability for travel use (size, weight, packaging, battery independence). High=explicitly travel-ready; Low=not travel-oriented.",review,35,travel_suitability_salience,travel_suitability_quality,B0GL2DKVQH,"Super portable, easy to clean – I picked up this URBANER precision mustache trimmer because I needed something small and accurate for quick touch-ups between full shaves","product_positioning,maslow,purchase_motivation","benefits,self_actualization,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
carrying_case_pouch,Carrying Case / Pouch Included,隨附旅行收納包,Portability,benefit_use,Whether a carrying case or pouch is included for storage and travel. High=case included; Low=no case (common complaint).,review,16,carrying_case_pouch_salience,carrying_case_pouch_quality,B0823PD6XD,What would have made the set perfect was a small pouch or bag to carry everything in for travel.,"product_positioning,purchase_motivation","benefits,functional","B0823PD6XD,B0BVVKKXFZ,B0D5B8ZT1K"
storage_box_tray,Storage Box / Tray for Attachments,附件收納盒/托盤,Portability,benefit_use,Whether a box or tray is included to organize all attachments. High=well-organized box with slots; Low=loose attachments.,review,18,storage_box_tray_salience,storage_box_tray_quality,B0BVVKKXFZ,It is compact and stores away nicely in the container included.,"product_positioning,purchase_motivation","benefits,functional","B0823PD6XD,B0BVVKKXFZ,B0D5B8ZT1K"
cordless_during_use,Truly Cordless During Use,使用中完全無線,Portability,attribute_function,Whether the device operates completely cord-free during use (no tethering to charger). High=fully cordless; Low=must stay plugged in.,both,20,cordless_during_use_salience,cordless_during_use_quality,B0BVVKKXFZ,Mighty But Compact Facial & Body Hair Cordless Trimmer – This multi-functional groomer is cordless,"product_positioning,purchase_motivation","functions,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
total_attachments_count,Total Attachments Count,附件總數,Accessories,attribute_function,Total number of attachments/heads included in the package. High=6+ items; Low=1-2 items.,both,28,total_attachments_count_salience,total_attachments_count_quality,B0823PD6XD,"6 Pieces Set – Beard Trimmer for Men, Waterproof Grooming Kit, 6 Pieces Set","product_positioning,purchase_motivation","attributes,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
cleaning_brush_included,Cleaning Brush Included,隨附清潔刷,Accessories,attribute_function,Whether a cleaning brush is included. High=brush included; Low=no brush.,both,14,cleaning_brush_included_salience,cleaning_brush_included_quality,B0BRVTRPXM,cleaning brush included in package,"product_positioning,purchase_motivation","attributes,functional","B0BRVTRPXM,B0823PD6XD,B0BVVKKXFZ,B06Y65N73X"
maintenance_oil_included,Maintenance Oil Included,隨附保養油,Accessories,attribute_function,Whether lubricating/maintenance oil is included. High=oil included; Low=not included.,both,8,maintenance_oil_included_salience,maintenance_oil_included_quality,B0BRVTRPXM,maintenance oil included in package,product_positioning,attributes,B0BRVTRPXM
spare_blade_included,Spare Blade Included,隨附備用刀片,Accessories,attribute_function,Whether a spare replacement blade is included. High=spare blade included; Low=only one blade.,both,6,spare_blade_included_salience,spare_blade_included_quality,B0BRVTRPXM,2 blades included in package,"product_positioning,purchase_motivation","attributes,functional",B0BRVTRPXM
instruction_manual_quality,Instruction Manual Clarity,說明書清晰度,Accessories,benefit_use,"How clear and useful the instruction manual is. High=clear instructions, good translations; Low=confusing or missing.",review,10,instruction_manual_quality_salience,instruction_manual_quality_quality,B0823PD6XD,Works well! – The directions are straight foreword and even though it is made outside of the US no grammatical mistakes,"product_positioning,wom_motivation","usage_context_service_experience,altruistic","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
rounded_blade_tip,Rounded Safety Blade Tip,圓頭安全刀片,Safety,attribute_function,Whether the blade tip is rounded to prevent cuts inside nose/ears. High=rounded safety tip; Low=exposed sharp tip.,both,14,rounded_blade_tip_salience,rounded_blade_tip_quality,B06Y65N73X,"The rounded tip of the razor is great for trimming unneeded hairs in nose, ears, and around the face","product_positioning,maslow,purchase_motivation","attributes,safety,security","B06Y65N73X,B0823PD6XD,B0BVVKKXFZ,B0D5B8ZT1K"
